"subjID" "actID" "variable" "(all)"
1 1 "tBodyAcc-mean()-X" 0.277330758736842
1 1 "tBodyAcc-mean()-Y" -0.0173838185273684
1 1 "tBodyAcc-mean()-Z" -0.111148103547368
1 1 "tBodyAcc-std()-X" -0.283740258842105
1 1 "tBodyAcc-std()-Y" 0.114461336747368
1 1 "tBodyAcc-std()-Z" -0.260027902210526
1 1 "tGravityAcc-mean()-X" 0.935223201473684
1 1 "tGravityAcc-mean()-Y" -0.282165021263158
1 1 "tGravityAcc-mean()-Z" -0.068102864
1 1 "tGravityAcc-std()-X" -0.976609642526316
1 1 "tGravityAcc-std()-Y" -0.971305961473684
1 1 "tGravityAcc-std()-Z" -0.947717226105263
1 1 "fBodyAcc-mean()-X" -0.202794306326316
1 1 "fBodyAcc-mean()-Y" 0.0897127264021053
1 1 "fBodyAcc-mean()-Z" -0.331560117789474
1 1 "fBodyAcc-std()-X" -0.319134719578947
1 1 "fBodyAcc-std()-Y" 0.056040006846
1 1 "fBodyAcc-std()-Z" -0.279686751494737
1 2 "tBodyAcc-mean()-X" 0.255461689622641
1 2 "tBodyAcc-mean()-Y" -0.0239531492643396
1 2 "tBodyAcc-mean()-Z" -0.0973020020943396
1 2 "tBodyAcc-std()-X" -0.35470802509434
1 2 "tBodyAcc-std()-Y" -0.00232026501698113
1 2 "tBodyAcc-std()-Z" -0.0194792388471698
1 2 "tGravityAcc-mean()-X" 0.89335109754717
1 2 "tGravityAcc-mean()-Y" -0.362153364339623
1 2 "tGravityAcc-mean()-Z" -0.075402939754717
1 2 "tGravityAcc-std()-X" -0.956367027924528
1 2 "tGravityAcc-std()-Y" -0.952849233207547
1 2 "tGravityAcc-std()-Z" -0.912379410377358
1 2 "fBodyAcc-mean()-X" -0.404321784150943
1 2 "fBodyAcc-mean()-Y" -0.190976720811321
1 2 "fBodyAcc-mean()-Z" -0.433349702075472
1 2 "fBodyAcc-std()-X" -0.337428188679245
1 2 "fBodyAcc-std()-Y" 0.0217695106566038
1 2 "fBodyAcc-std()-Z" 0.0859565543849057
1 3 "tBodyAcc-mean()-X" 0.289188320408163
1 3 "tBodyAcc-mean()-Y" -0.00991850461020408
1 3 "tBodyAcc-mean()-Z" -0.107566190908163
1 3 "tBodyAcc-std()-X" 0.0300353383483878
1 3 "tBodyAcc-std()-Y" -0.0319359434489796
1 3 "tBodyAcc-std()-Z" -0.230434213204082
1 3 "tGravityAcc-mean()-X" 0.931874418979592
1 3 "tGravityAcc-mean()-Y" -0.266610338979592
1 3 "tGravityAcc-mean()-Z" -0.0621199585938775
1 3 "tGravityAcc-std()-X" -0.950559811632653
1 3 "tGravityAcc-std()-Y" -0.937018658979592
1 3 "tGravityAcc-std()-Z" -0.895939695102041
1 3 "fBodyAcc-mean()-X" 0.0382291831510204
1 3 "fBodyAcc-mean()-Y" 0.00154990783591837
1 3 "fBodyAcc-mean()-Z" -0.225574471693878
1 3 "fBodyAcc-std()-X" 0.0243308391387755
1 3 "fBodyAcc-std()-Y" -0.112963739953061
1 3 "fBodyAcc-std()-Z" -0.297927894693878
1 4 "tBodyAcc-mean()-X" 0.261237565425532
1 4 "tBodyAcc-mean()-Y" -0.00130828765170213
1 4 "tBodyAcc-mean()-Z" -0.104544182255319
1 4 "tBodyAcc-std()-X" -0.977229008297872
1 4 "tBodyAcc-std()-Y" -0.922618641914894
1 4 "tBodyAcc-std()-Z" -0.93958629106383
1 4 "tGravityAcc-mean()-X" 0.831509933404255
1 4 "tGravityAcc-mean()-Y" 0.204411592680851
1 4 "tGravityAcc-mean()-Z" 0.332043702765957
1 4 "tGravityAcc-std()-X" -0.968457145744681
1 4 "tGravityAcc-std()-Y" -0.935517055957447
1 4 "tGravityAcc-std()-Z" -0.949040933191489
1 4 "fBodyAcc-mean()-X" -0.979641238723404
1 4 "fBodyAcc-mean()-Y" -0.944084550425532
1 4 "fBodyAcc-mean()-Z" -0.959184889148936
1 4 "fBodyAcc-std()-X" -0.976412313191489
1 4 "fBodyAcc-std()-Y" -0.917275006382979
1 4 "fBodyAcc-std()-Z" -0.934469558085106
1 5 "tBodyAcc-mean()-X" 0.278917629056604
1 5 "tBodyAcc-mean()-Y" -0.0161375901037736
1 5 "tBodyAcc-mean()-Z" -0.110601817735849
1 5 "tBodyAcc-std()-X" -0.995759901509434
1 5 "tBodyAcc-std()-Y" -0.973190056415094
1 5 "tBodyAcc-std()-Z" -0.979775876981132
1 5 "tGravityAcc-mean()-X" 0.942952000377358
1 5 "tGravityAcc-mean()-Y" -0.272983832264151
1 5 "tGravityAcc-mean()-Z" 0.0134905823226415
1 5 "tGravityAcc-std()-X" -0.99376298509434
1 5 "tGravityAcc-std()-Y" -0.981225957924528
1 5 "tGravityAcc-std()-Z" -0.976324063584906
1 5 "fBodyAcc-mean()-X" -0.995249932641509
1 5 "fBodyAcc-mean()-Y" -0.977070847735849
1 5 "fBodyAcc-mean()-Z" -0.985297098679245
1 5 "fBodyAcc-std()-X" -0.99602834509434
1 5 "fBodyAcc-std()-Y" -0.972293102075472
1 5 "fBodyAcc-std()-Z" -0.977937259622642
1 6 "tBodyAcc-mean()-X" 0.22159824394
1 6 "tBodyAcc-mean()-Y" -0.0405139534294
1 6 "tBodyAcc-mean()-Z" -0.11320355358
1 6 "tBodyAcc-std()-X" -0.9280564692
1 6 "tBodyAcc-std()-Y" -0.83682740562
1 6 "tBodyAcc-std()-Z" -0.826061401628
1 6 "tGravityAcc-mean()-X" -0.24888179828
1 6 "tGravityAcc-mean()-Y" 0.70554977346
1 6 "tGravityAcc-mean()-Z" 0.4458177198
1 6 "tGravityAcc-std()-X" -0.8968300184
1 6 "tGravityAcc-std()-Y" -0.90772000676
1 6 "tGravityAcc-std()-Z" -0.85236629022
1 6 "fBodyAcc-mean()-X" -0.9390990524
1 6 "fBodyAcc-mean()-Y" -0.86706520518
1 6 "fBodyAcc-mean()-Z" -0.8826668762
1 6 "fBodyAcc-std()-X" -0.9244374346
1 6 "fBodyAcc-std()-Y" -0.8336255561
1 6 "fBodyAcc-std()-Z" -0.81289155944
2 1 "tBodyAcc-mean()-X" 0.276426586440678
2 1 "tBodyAcc-mean()-Y" -0.0185949199145763
2 1 "tBodyAcc-mean()-Z" -0.105500357966102
2 1 "tBodyAcc-std()-X" -0.423642838474576
2 1 "tBodyAcc-std()-Y" -0.0780912533118644
2 1 "tBodyAcc-std()-Z" -0.425257524915254
2 1 "tGravityAcc-mean()-X" 0.91301733338983
2 1 "tGravityAcc-mean()-Y" -0.34660709
2 1 "tGravityAcc-mean()-Z" 0.0847270871186441
2 1 "tGravityAcc-std()-X" -0.972693201355932
2 1 "tGravityAcc-std()-Y" -0.972116879661017
2 1 "tGravityAcc-std()-Z" -0.972072847627119
2 1 "fBodyAcc-mean()-X" -0.346048161016949
2 1 "fBodyAcc-mean()-Y" -0.0219048103322034
2 1 "fBodyAcc-mean()-Z" -0.453806369830508
2 1 "fBodyAcc-std()-X" -0.457651383728814
2 1 "fBodyAcc-std()-Y" -0.16921968620339
2 1 "fBodyAcc-std()-Z" -0.455222146440678
